year,faction_id,faction_name_ru,members_count,total_faction_power,raw_power_share,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,mean_elite_age,share_60_plus,share_70_plus
1923,rev_sovnarkom_government,Совнарком / правительственный контур,2,1.47,0.2297,0.1312,47.77,49.35,27.99,28.72,3.94,0.0,0.0
1923,rev_party_org_apparatus,Партийно-организационный аппарат,1,0.9,0.1406,0.0803,44.53,44.53,25.49,25.49,5.64,0.0,0.0
1923,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1113,0.0636,43.64,43.64,26.49,26.49,5.69,0.0,0.0
1923,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.0965,0.0551,45.8,45.8,28.49,28.49,5.53,0.0,0.0
1924,rev_old_bolsheviks,Старые большевики,7,3.995,0.7398,0.3501,42.54,43.02,25.07,25.43,5.96,0.0,0.0
1924,rev_bolshevik_center,Большевистский центр,4,1.6625,0.3079,0.1457,40.52,41.12,23.25,23.86,6.34,0.0,0.0
1924,stalin_inner_circle,Сталинский ближний круг,2,1.56,0.2889,0.1367,39.92,41.5,22.49,23.62,4.96,0.0,0.0
1924,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.2676,0.1266,39.92,40.91,22.49,23.2,4.96,0.0,0.0
1924,rev_party_org_apparatus,Партийно-организационный аппарат,1,0.9,0.1667,0.0789,45.53,45.53,26.49,26.49,6.64,0.0,0.0
1924,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1319,0.0624,44.65,44.65,27.49,27.49,6.69,0.0,0.0
1924,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.1144,0.0541,46.8,46.8,29.5,29.5,6.53,0.0,0.0
1924,rev_sovnarkom_government,Совнарком / правительственный контур,1,0.52,0.0963,0.0456,43.34,43.34,26.49,26.49,3.24,0.0,0.0
1925,rev_old_bolsheviks,Старые большевики,5,2.805,0.4675,0.3719,42.26,42.91,24.7,25.16,6.71,0.0,0.0
1925,stalin_inner_circle,Сталинский ближний круг,3,2.04,0.34,0.2705,42.08,42.95,23.16,24.12,4.14,0.0,0.0
1925,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.2408,0.1916,40.92,41.91,23.49,24.2,5.96,0.0,0.0
1925,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1187,0.0945,45.65,45.65,28.49,28.49,7.69,0.0,0.0
1925,stalin_military_command,Военное командование,1,0.54,0.09,0.0716,44.4,44.4,22.5,22.5,0.5,0.0,0.0
1926,rev_old_bolsheviks,Старые большевики,5,2.805,0.4675,0.4107,43.26,43.91,25.7,26.16,7.71,0.0,0.0
1926,stalin_inner_circle,Сталинский ближний круг,3,2.04,0.34,0.2987,43.08,43.95,24.16,25.12,5.14,0.0,0.0
1926,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.2408,0.2116,41.92,42.91,24.49,25.2,6.96,0.0,0.0
1926,stalin_military_command,Военное командование,1,0.54,0.09,0.0791,45.4,45.4,23.5,23.5,1.49,0.0,0.0
1927,stalin_inner_circle,Сталинский ближний круг,4,2.48,0.5167,0.3915,43.23,44.19,25.0,25.83,4.84,0.0,0.0
1927,rev_old_bolsheviks,Старые большевики,3,1.87,0.3896,0.2952,44.53,45.43,26.83,27.49,8.05,0.0,0.0
1927,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.301,0.2281,42.92,43.91,25.49,26.2,7.96,0.0,0.0
1927,stalin_military_command,Военное командование,1,0.54,0.1125,0.0852,46.4,46.4,24.5,24.5,2.49,0.0,0.0
1928,stalin_inner_circle,Сталинский ближний круг,4,2.48,0.6123,0.3631,44.23,45.19,26.0,26.83,5.84,0.0,0.0
1928,rev_old_bolsheviks,Старые большевики,3,1.87,0.4617,0.2738,45.53,46.43,27.83,28.49,9.05,0.0,0.0
1928,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.3568,0.2116,43.92,44.91,26.49,27.2,8.96,0.0,0.0
1928,stalin_military_command,Военное командование,1,0.54,0.1333,0.0791,47.4,47.4,25.5,25.5,3.5,0.0,0.0
1928,stalin_industrial_modernizers,Индустриальные модернизаторы,1,0.495,0.1222,0.0725,41.68,41.68,25.5,25.5,1.94,0.0,0.0
1929,stalin_inner_circle,Сталинский ближний круг,4,2.48,0.6123,0.3631,45.23,46.19,27.0,27.83,6.84,0.0,0.0
1929,rev_old_bolsheviks,Старые большевики,3,1.87,0.4617,0.2738,46.53,47.43,28.83,29.49,10.05,0.0,0.0
1929,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.3568,0.2116,44.92,45.91,27.49,28.2,9.96,0.0,0.0
1929,stalin_military_command,Военное командование,1,0.54,0.1333,0.0791,48.4,48.4,26.5,26.5,4.5,0.0,0.0
1929,stalin_industrial_modernizers,Индустриальные модернизаторы,1,0.495,0.1222,0.0725,42.68,42.68,26.5,26.5,2.94,0.0,0.0
1930,stalin_inner_circle,Сталинский ближний круг,4,2.48,0.7086,0.3898,46.23,47.19,28.0,28.83,7.84,0.0,0.0
1930,stalin_party_apparatus,Сталинский партийный аппарат,2,1.445,0.4129,0.2271,45.92,46.91,28.5,29.2,10.96,0.0,0.0
1930,rev_old_bolsheviks,Старые большевики,2,1.4025,0.4007,0.2204,50.44,50.67,32.49,32.49,10.94,0.0,0.0
1930,stalin_military_command,Военное командование,1,0.54,0.1543,0.0849,49.4,49.4,27.5,27.5,5.49,0.0,0.0
1930,stalin_industrial_modernizers,Индустриальные модернизаторы,1,0.495,0.1414,0.0778,43.68,43.68,27.5,27.5,3.94,0.0,0.0
1931,stalin_inner_circle,Сталинский ближний круг,6,3.36,0.8506,0.413,45.3,46.33,27.33,28.22,6.22,0.0,0.0
1931,stalin_party_apparatus,Сталинский партийный аппарат,4,2.38,0.6025,0.2926,44.17,45.23,26.75,27.64,6.47,0.0,0.0
1931,stalin_industrial_modernizers,Индустриальные модернизаторы,2,1.005,0.2544,0.1235,41.14,41.09,24.5,24.44,2.96,0.0,0.0
1931,rev_old_bolsheviks,Старые большевики,1,0.85,0.2152,0.1045,52.53,52.53,33.49,33.49,13.64,0.0,0.0
1931,stalin_military_command,Военное командование,1,0.54,0.1367,0.0664,50.4,50.4,28.5,28.5,6.49,0.0,0.0
1932,stalin_inner_circle,Сталинский ближний круг,6,3.36,0.8506,0.413,46.3,47.33,28.33,29.22,7.22,0.0,0.0
1932,stalin_party_apparatus,Сталинский партийный аппарат,4,2.38,0.6025,0.2926,45.17,46.23,27.75,28.64,7.47,0.0,0.0
1932,stalin_industrial_modernizers,Индустриальные модернизаторы,2,1.005,0.2544,0.1235,42.14,42.09,25.5,25.44,3.96,0.0,0.0
1932,rev_old_bolsheviks,Старые большевики,1,0.85,0.2152,0.1045,53.53,53.53,34.49,34.49,14.65,0.0,0.0
1932,stalin_military_command,Военное командование,1,0.54,0.1367,0.0664,51.4,51.4,29.5,29.5,7.5,0.0,0.0
